target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Parseable
voldemort must sprinkle many croissants,voldemort must hide the pancake,5,5,5,0,0,0,1
neville must gobble the chocolates,neville must create the cookies,5,5,5,0,1,0,1
albus should make the pancakes,albus should walk,5,5,3,0,0,0,1
hagrid should create many pancakes since the witch may arrange many croissants that albus can sprinkle,hagrid should arrange the baklava,16,16,5,0,0,0,1
since voldemort can chew a croissant the professor must make a croissant that snape must create,since voldemort must chew a croissant which must must chew,16,16,10,0,N/A,N/A,0
neville must create the chocolates which the professor should arrange,neville may prepare the cakes,10,10,5,0,0,0,1
a student can smile,a student can arrange,4,4,4,0,1,0,1
harry should party,harry should create,3,3,3,0,1,0,1
mcgonagall can wiggle,can can wiggle,3,3,3,0,N/A,N/A,0
snape can jump,snape can jump,3,3,3,1,1,1,1
hermione should giggle,hermione should prepare,3,3,3,0,1,0,1
albus should walk,albus should walk,3,3,3,1,1,1,1
because sirius can create the pancake fred must hide a cake,because a professor must eat the baklava which she must make a cookie,11,11,13,0,N/A,N/A,0
the wizard can jump,the can can the,4,4,4,0,N/A,N/A,0
the student may giggle,the professor may gobble the pancakes,4,4,6,0,0,0,1
george should giggle,george should not,3,3,3,0,N/A,N/A,0
lupin may hiccup,lupin may not assemble the strudels,3,3,6,0,0,0,1
snape may prepare the souffle,the may prepare the strudels,5,5,5,0,N/A,N/A,0
neville should prepare the souffles,neville should sprinkle the strudels,5,5,5,0,1,0,1
hermione should arrange many baklava,hermione should hide the baklava,5,5,5,0,1,0,1
snape must prepare the souffles,snape must assemble the pancakes,5,5,5,0,1,0,1
lupin must gobble the cookies,lupin must gobble the cookies,5,5,5,1,1,1,1
a professor must chew a chocolate that she must assemble,a professor must assemble a baklava,10,10,6,0,0,0,1
a wizard should prepare the croissants which lily should gobble,a professor may prepare a chocolate that a student may prepare,10,10,11,0,0,1,1
the professor should swim,the should should,4,4,3,0,N/A,N/A,0
a student should arrange a baklava that ginny should arrange,a professor should hide a cookie,10,10,6,0,0,0,1
draco must make a eclaire that the professor must make,draco must create the baklava,10,10,5,0,0,0,1
ron may chew the baklava that the professor must create,ron must create the baklava that the must create the baklava that the must create the baklava,10,10,17,0,N/A,N/A,0
a professor may make the pancake that lupin can make,lupin can make a pancake,10,10,5,0,0,0,1
lupin may sprinkle a chocolate that a wizard should arrange,lupin may a pancake,10,10,4,0,N/A,N/A,0
the student must smile because james must make the pancakes,the professor can hide the pancake,10,10,6,0,0,0,1
the student should make the doughnut because albus may hiccup,neville may may gobble the baklava,10,10,6,0,N/A,N/A,0
petunia must create the souffles that he may create,petunia must hide the baklava,9,9,5,0,0,0,1
voldemort can eat a doughnut that ron must assemble,voldemort must hide a baklava,9,9,5,0,0,0,1
since voldemort may wiggle lupin can hide the croissant,since voldemort may gobble the baklava,9,9,6,0,0,0,1
lupin must eat the cookies that petunia may prepare,lupin may prepare a pancake,9,9,5,0,0,0,1
voldemort must hide the cookies that lupin must gobble,voldemort must create the cookies,9,9,5,0,0,0,1
the witch must sprinkle a chocolate that he must arrange,the professor must chew the baklava,10,10,6,0,0,0,1
a student can assemble the cookies that dobby can sprinkle,because the can not eat the baklava,10,10,7,0,N/A,N/A,0
because the witch must arrange a cake he should laugh,because a professor should chew the baklava which he should chew,10,10,11,0,0,0,1
the witch should prepare the cookies,the should prepare the souffles,6,6,5,0,N/A,N/A,0
snape must create a croissant that a wizard should eat,snape must hide a pancake,10,10,5,0,0,0,1
the professor may sprinkle the baklava which petunia should gobble,the professor must gobble the croissants,10,10,6,0,0,0,1
she must giggle,she must chew,3,3,3,0,1,0,1
draco should giggle,draco should make,3,3,3,0,1,0,1
dobby should laugh,dobby should hide,3,3,3,0,1,0,1
albus can smile,albus can walk,3,3,3,0,1,0,1
lupin must hiccup,lupin must chew the souffles,3,3,5,0,0,0,1
fred may laugh,fred may laugh,3,3,3,1,1,1,1
he should giggle,he should hide,3,3,3,0,1,0,1
albus must giggle,albus must chew,3,3,3,0,1,0,1
ron should wiggle,ron should hide,3,3,3,0,1,0,1
lily must hiccup,lily must create,3,3,3,0,1,0,1
sirius must run since he can walk,sirius must gobble,7,7,3,0,0,0,1
a student can eat the doughnut,a professor can arrange the chocolate,6,6,6,0,1,0,1
snape should chew the souffle that lily should hide since dobby may sprinkle the cake that hermione must gobble,snape should hide a doughnut that a should should chew,19,19,10,0,N/A,N/A,0
he should assemble a baklava which snape can chew since neville can sprinkle the cookies which neville should arrange,neville should gobble a cookie that neville should sprinkle,19,19,9,0,0,0,1
lupin can prepare the baklava that ron should chew since ron may gobble the pancake that she should prepare,the professor can prepare the chocolates,19,19,6,0,0,0,1
since george may eat the eclaires that draco can create harry must arrange the strudels which he may sprinkle,harry can create the souffle that harry may create,19,19,9,0,0,0,1
because he should create a doughnut the student should make many strudels since he must eat the strudels,because the wizard should not sprinkle the strudels,18,18,8,0,0,0,1
voldemort can make the doughnut because petunia should sprinkle many eclaires since harry may chew the cookies,because draco may eat the baklava that she may prepare the souffle,17,17,12,0,N/A,N/A,0
hagrid should assemble the cookies,hagrid should prepare the cookies,5,5,5,0,1,0,1
he must prepare the baklava,he must chew the baklava,5,5,5,0,1,0,1
draco may make a eclaire,draco may arrange a cake,5,5,5,0,1,0,1
he must eat a pancake,he must chew a pancake,5,5,5,0,1,0,1
lily should make a chocolate,a professor should make a cookie,5,5,6,0,0,1,1
because draco can wiggle harry should run,because voldemort should sprinkle the strudels,7,7,6,0,0,0,1
draco must create the eclaires that the student can chew,draco must eat,10,10,3,0,0,0,1
neville should make a souffle that a wizard must assemble,neville should assemble a cookie,10,10,5,0,0,0,1
hermione should prepare the cakes,hermione should gobble the cakes,5,5,5,0,1,0,1
he must sprinkle the baklava,he must chew the baklava,5,5,5,0,1,0,1
sirius must make a cookie,sirius must assemble a chocolate,5,5,5,0,1,0,1
snape must assemble a croissant,snape must assemble a pancake,5,5,5,0,1,0,1
snape may prepare the cake that a witch may assemble,the may may assemble the baklava that vernon may assemble the baklava that he may assemble the baklava,10,10,18,0,N/A,N/A,0
the witch must make a souffle because harry must swim,the professor must chew the pancake,10,10,6,0,0,0,1
ron may make the chocolate that a witch should eat,ron may gobble the pancake that lupin may not,10,10,9,0,N/A,N/A,0
snape may hiccup since the student may jump since dobby can smile,snape must arrange,12,12,3,0,0,0,1
a student should walk because neville must assemble the strudel that albus may gobble,a professor should chew a cookie that a student should not chew,14,14,12,0,N/A,N/A,0
sirius must make the doughnut which james may eat,sirius may eat the pancake,9,9,5,0,0,0,1
snape should hide the doughnuts that ginny should create,snape should hide,9,9,3,0,0,0,1
mcgonagall may gobble the pancakes which hagrid should prepare,the may gobble the cookies which the may,9,9,8,0,N/A,N/A,0
snape can arrange many pancakes that snape can make,snape can chew,9,9,3,0,0,0,1
vernon may create the baklava that dobby must arrange,vernon must eat the chocolates,9,9,5,0,0,0,1
since vernon must hide the doughnuts george should sprinkle the cookies,since voldemort must hide the cookies,11,11,6,0,0,0,1
since harry can hide a chocolate petunia must create the cookie,since voldemort may assemble the pancake,11,11,6,0,0,0,1
the student should chew the chocolates that the student should gobble,the student should hide the cookies,11,11,6,0,0,0,1
since she must eat a pancake draco may make the cookie which albus should make,since voldemort must hide a croissant,15,15,6,0,0,0,1
he must assemble the baklava that dobby should hide since george must arrange the strudel,he must chew the baklava,15,15,5,0,0,0,1
because george may create a chocolate fred should create the souffles which vernon may hide,because a professor should chew a cookie that a student should chew,15,15,12,0,0,0,1
since voldemort may sprinkle the souffles since george must hiccup harry can make a doughnut that a student must gobble,since voldemort must hide a chocolate that a must assemble a chocolate,20,20,12,0,N/A,N/A,0
because vernon should hide the pancake neville can chew the pancakes,vernon should sprinkle the souffle,11,11,5,0,0,0,1
james must hide the doughnut because draco can create many souffles,james must make a pancake,11,11,5,0,0,0,1
albus must sprinkle the strudels that she should prepare,she should prepare the strudels,9,9,5,0,0,0,1
ron must assemble many chocolates that mcgonagall should prepare,ron must assemble a pancake,9,9,5,0,0,0,1
ron can prepare many strudels which mcgonagall may sprinkle,mcgonagall can prepare the strudels,9,9,5,0,0,0,1
fred may make a pancake that she must create,fred must assemble a cookie that fred must assemble,9,9,9,0,0,0,1
mcgonagall may assemble the cake that hagrid must create,mcgonagall may assemble a chocolate that hagrid must assemble,9,9,9,0,1,0,1
because james can swim petunia must hiccup because she should chew the doughnuts,because the must hide the baklava,13,13,6,0,N/A,N/A,0
since george should hiccup hagrid must make the chocolates which albus must arrange,since voldemort must chew the strudel,13,13,6,0,0,0,1
draco should hiccup because dobby must gobble many cakes which he can eat,draco should eat the cakes that he should gobble,13,13,9,0,0,0,1
since james can make the cake that the witch should hide she can assemble a chocolate which she should prepare,a professor should prepare the pancakes that a professor should chew,20,20,11,0,0,0,1
since voldemort should hiccup petunia must arrange the souffles since petunia must sprinkle a doughnut which a witch should hide,since voldemort must hide a croissant,20,20,6,0,0,0,1
james should create a croissant because draco should assemble the pancake,james should hide the pancake,11,11,5,0,0,0,1
since neville should chew the chocolates lily may hide the baklava,neville should assemble the baklava,11,11,5,0,0,0,1
a student must sprinkle the eclaires which the witch can eat,a witch can eat the chocolate,11,11,6,0,0,0,1
the student can chew the cakes because ginny should assemble many eclaires that voldemort may arrange,because snape must chew the cakes that he must chew the cakes that he must chew the cakes that he must chew,16,16,22,0,N/A,N/A,0
the wizard should arrange the cakes that draco can gobble since sirius must eat the cakes,the student should hide the cakes,16,16,6,0,0,0,1
since hagrid must gobble a cake she may prepare a baklava which she must assemble,since voldemort must assemble the croissants,15,15,6,0,0,0,1
because sirius should eat the souffle dobby can assemble a strudel,because a professor must chew the baklava which a professor must chew a cookie,11,11,14,0,N/A,N/A,0
since albus should prepare many pancakes she can assemble the cookie,since voldemort may assemble the baklava,11,11,6,0,0,0,1
harry can make the chocolates since a wizard may prepare the doughnuts which he may prepare,albus can eat the chocolates that lupin can not create the chocolates,16,16,12,0,N/A,N/A,0
because lily should prepare a eclaire a wizard may sprinkle the pancakes that he should gobble,because he should eat the cakes that he should create,16,16,10,0,0,0,1
snape can arrange the cookie because harry should make the baklava,because can can hide the baklava,11,11,6,0,N/A,N/A,0
a professor can assemble a croissant that the witch should arrange,a professor should sprinkle a cookie,11,11,6,0,0,0,1
lily must arrange many cakes,lily must make,5,5,3,0,0,0,1
james may eat many doughnuts,james may gobble,5,5,3,0,0,0,1
lupin should eat the pancakes,lupin should gobble the baklava,5,5,5,0,1,0,1
james may assemble the eclaires,james may assemble the strudels,5,5,5,0,1,0,1
a witch may party,a professor must a,4,4,4,0,N/A,N/A,0
the student should swim,the student should hide,4,4,4,0,1,0,1
the student must arrange the baklava,the professor can hide the croissants,6,6,6,0,1,0,1
a student should hide a strudel,a student should hide a strudel,6,6,6,1,1,1,1
the student must make the cake since a professor may walk because voldemort should prepare the baklava that a witch may sprinkle,the professor can hide the pancake,22,22,6,0,0,0,1
ron should make a doughnut since lupin may prepare the croissants which vernon can gobble since hagrid must hide a pancake,ron should hide a croissant,21,21,5,0,0,0,1
vernon should eat the strudels that harry may sprinkle,vernon can hide,9,9,3,0,0,0,1
she may eat many baklava which he must sprinkle,she must arrange the strudel that she must chew,9,9,9,0,0,0,1
hermione may prepare the cookies that hagrid may gobble,hermione may gobble the baklava that hagrid may gobble the baklava that hagrid may gobble the souffle that hagrid may gobble,9,9,21,0,N/A,N/A,0
hagrid may arrange the baklava that lupin can hide,lupin can arrange the chocolates that lupin can gobble,9,9,9,0,1,0,1
lupin must gobble a baklava which petunia should eat,lupin must chew the cakes that lupin must chew,9,9,9,0,1,0,1
the professor should arrange the cakes that voldemort must sprinkle,the professor should chew the professor should chew the souffle,10,10,10,0,N/A,N/A,0
because hermione must eat the cakes that ginny can create mcgonagall must assemble the eclaire,because the must assemble the baklava,15,15,6,0,N/A,N/A,0
james can sprinkle the chocolate since ginny must create a souffle which albus can make,mcgonagall can make a chocolate,15,15,5,0,0,0,1
because snape can chew the cookie that dobby should gobble vernon must create the strudel,because the must assemble the baklava which ron must create the baklava,15,15,12,0,N/A,N/A,0
harry must make many croissants which hermione should prepare because mcgonagall may make the chocolates,harry must eat the pancakes,15,15,5,0,0,0,1
a wizard can jump,a wizard can chew,4,4,4,0,1,0,1
the wizard must smile,the professor must hide,4,4,4,0,1,0,1
the student can jump,the can can chew,4,4,4,0,N/A,N/A,0
petunia can sprinkle a croissant that ron should sprinkle,hermione can sprinkle a pancake,9,9,5,0,0,0,1
snape must assemble a chocolate that ron must gobble,snape must chew a pancake that snape must chew,9,9,9,0,1,0,1
albus should sprinkle the eclaires which hagrid may arrange,the professor may eat the cookies,9,9,6,0,0,0,1
fred should prepare the souffles that hagrid may sprinkle,fred may prepare the baklava that hagrid may assemble the baklava,9,9,11,0,N/A,N/A,0
george should make the doughnut that dobby should arrange,a should chew the cookies that a student should chew,9,9,10,0,N/A,N/A,0
mcgonagall should hide many doughnuts which a wizard should hide because she should assemble a cake,since should should hide a cookie,16,16,6,0,N/A,N/A,0
snape must laugh since he may jump,snape must hide a pancake,7,7,5,0,0,0,1
dobby should eat the cake,dobby may not,5,5,3,0,N/A,N/A,0
mcgonagall should gobble the strudels,the strudels,5,5,2,0,N/A,N/A,0
draco can prepare the baklava,the can can the the can not,5,5,7,0,N/A,N/A,0
hermione must hide the croissant,hermione must gobble the baklava,5,5,5,0,1,0,1
james may eat a chocolate,james may make a cookie,5,5,5,0,1,0,1
ginny should chew the cookies,ginny should hide,5,5,3,0,0,0,1
hagrid must prepare a eclaire,hagrid may chew a pancake,5,5,5,0,1,0,1
james should assemble a cookie,a should assemble a pancake,5,5,5,0,N/A,N/A,0
a professor must make the souffle,a professor must chew,6,6,4,0,0,0,1
the professor must sprinkle a cake,the professor must chew the baklava,6,6,6,0,1,0,1
the wizard may chew a eclaire,the professor may not the the baklava,6,6,7,0,N/A,N/A,0
the student must walk,the professor must chew,4,4,4,0,1,0,1
since draco can sprinkle a baklava lupin can arrange the strudels which george must assemble,the professor must arrange the strudels,15,15,6,0,0,0,1
hermione must run since the student can make the souffles which a witch should arrange,hermione must chew,15,15,3,0,0,0,1
because petunia must chew the eclaire draco may sprinkle the eclaires that mcgonagall must assemble,because voldemort must hide the baklava which he must chew the baklava that he must chew,15,15,16,0,N/A,N/A,0
since the witch must party ginny may arrange many doughnuts that james must assemble,since he must assemble the baklava that hagrid must assemble,14,14,10,0,0,0,1
lily must chew the souffles,lily must make,5,5,3,0,0,0,1
hermione must arrange the cookies,hermione must chew the baklava,5,5,5,0,1,0,1
ron must arrange many croissants,ron must assemble the baklava,5,5,5,0,1,0,1
dobby must prepare the doughnuts,dobby must hide the baklava,5,5,5,0,1,0,1
she should hide a strudel,she should chew a cake that a student should chew,5,5,10,0,0,0,1
the student should make the pancakes that the witch should gobble,the student should hide the cakes,11,11,6,0,0,0,1
ginny can hide the doughnuts that petunia should eat,petunia should gobble the souffles that should should not eat the pancakes that the student should eat,9,9,17,0,N/A,N/A,0
ginny must prepare a souffle which neville can make,ginny must arrange a croissant,9,9,5,0,0,0,1
lily must gobble the strudel which she can make,lily must gobble the strudel,9,9,5,0,0,0,1
since mcgonagall can giggle hermione can create the doughnuts,the can eat the doughnuts,9,9,5,0,N/A,N/A,0
she should arrange a doughnut which she should prepare,she should chew a cookie that she should chew,9,9,9,0,1,0,1
the wizard should swim,the should should,4,4,3,0,N/A,N/A,0
since the professor may chew many cookies that the witch should hide albus should hide the cakes that he can hide,since voldemort must chew the croissant,21,21,6,0,0,0,1
she can sprinkle the souffles that george must eat because a professor must prepare the doughnut which the wizard can prepare,the can prepare the chocolate,21,21,5,0,N/A,N/A,0
draco may prepare the cookies that he may prepare,he may gobble the cookies,9,9,5,0,0,0,1
lily must make the doughnut that petunia can make,a can make the chocolate that can can make,9,9,9,0,N/A,N/A,0
fred may chew the souffle which petunia must create,fred must prepare the chocolates,9,9,5,0,0,0,1
mcgonagall must hide the cakes which lily can sprinkle,mcgonagall can chew,9,9,3,0,0,0,1
ron can eat the cakes that ginny should gobble,the may assemble the cakes,9,9,5,0,N/A,N/A,0
since ginny may assemble the eclaires george can chew many chocolates,since voldemort may hide the baklava,11,11,6,0,0,0,1
since the witch should walk a student may assemble the strudel,a witch should chew the baklava,11,11,6,0,0,0,1
since lupin should prepare the cake lily can arrange the souffles,lupin can gobble the pancake,11,11,5,0,0,0,1
hagrid should assemble the croissants,hagrid should assemble the baklava,5,5,5,0,1,0,1
vernon must chew a doughnut,vernon must chew a cake,5,5,5,0,1,0,1
sirius should gobble the doughnuts,sirius should gobble the strudels,5,5,5,0,1,0,1
a student should laugh,a should not,4,4,3,0,N/A,N/A,0
sirius may create a cake,sirius may arrange a chocolate,5,5,5,0,1,0,1
draco must arrange the souffles,draco must gobble the baklava,5,5,5,0,1,0,1
lupin must eat the chocolates,lupin may gobble the souffles,5,5,5,0,1,0,1
draco should assemble the strudels,draco should sprinkle the strudels,5,5,5,0,1,0,1
snape should assemble the eclaires,snape should assemble the baklava,5,5,5,0,1,0,1
albus can chew the souffles,albus can make the pancake,5,5,5,0,0,0,1
because dobby should arrange the cookie voldemort must eat the souffle that hermione may prepare,because he may prepare the cakes that albus may prepare,15,15,10,0,0,0,1
because lupin must prepare a cookie which sirius must prepare petunia must assemble the cakes,because the must hide the baklava which he must chew the baklava that he must chew,15,15,16,0,N/A,N/A,0
since voldemort should chew a doughnut which a wizard can hide vernon must walk,since voldemort must hide a croissant,14,14,6,0,0,0,1
a student should giggle,a professor should hide,4,4,4,0,1,0,1
the student can laugh,the can can the,4,4,4,0,N/A,N/A,0
voldemort must hide the souffle,voldemort must hide the cookies,5,5,5,0,0,0,1
lupin may prepare the baklava,lupin may gobble the baklava,5,5,5,0,1,0,1
fred should hide the cakes,fred should make the cakes,5,5,5,0,1,0,1
lily should make the souffles,a wizard can make the baklava,5,5,6,0,0,1,1
the witch should create the cakes,the student may gobble the cakes,6,6,6,0,1,0,1
a witch must eat the souffle,a student must assemble,6,6,4,0,0,0,1
ron must arrange many cakes because neville can prepare the eclaire,ron must sprinkle,11,11,3,0,0,0,1
the student may create the doughnuts that harry may gobble,the professor may gobble the baklava,10,10,6,0,0,0,1
a student must create the souffle that hermione may eat,a professor should eat a eclaire that a professor should sprinkle,10,10,11,0,0,1,1
a student should assemble the chocolate that petunia must assemble,a professor must assemble a chocolate that a witch must assemble,10,10,11,0,0,1,1
hermione may arrange a croissant,hermione may assemble a pancake,5,5,5,0,1,0,1
albus should sprinkle a doughnut,albus should prepare a pancake,5,5,5,0,1,0,1
hermione should chew the chocolates,the professor should chew the baklava,5,5,6,0,0,1,1
voldemort can chew the chocolates,voldemort may eat the pancake,5,5,5,0,0,0,1
mcgonagall must make the souffles that dobby should create since albus must gobble the strudels,mcgonagall should hide the baklava,15,15,5,0,0,0,1
snape should make the baklava which draco can sprinkle because dobby must eat the cookies,draco should eat the chocolates,15,15,5,0,0,0,1
because snape should arrange a cookie that james can gobble lupin can arrange a doughnut,because a professor can make a cookie,15,15,7,0,0,0,1
a wizard can prepare the cakes which vernon must assemble,a student must assemble the croissants,10,10,6,0,0,0,1
a professor must chew the baklava which harry should prepare,a professor must chew,10,10,4,0,0,0,1
the student should arrange a cake that he must assemble,the student should chew a cookie,10,10,6,0,0,0,1
since lupin should gobble the eclaires a wizard can sprinkle the cookies,the student can the cookies,12,12,5,0,N/A,N/A,0
a wizard should smile,a professor should hide,4,4,4,0,1,0,1
a professor may walk,a may may,4,4,3,0,N/A,N/A,0
a professor should laugh,a professor should hide,4,4,4,0,1,0,1
the student must walk,the professor must chew,4,4,4,0,1,0,1
voldemort should chew the croissants,voldemort should hide the baklava,5,5,5,0,1,0,1
james may prepare the cookie,the may prepare the strudels,5,5,5,0,N/A,N/A,0
hagrid may eat the eclaire,draco may gobble the strudels,5,5,5,0,0,0,1
albus must hide a cookie,albus must assemble a cake,5,5,5,0,1,0,1
ginny must arrange a pancake,ginny must assemble a croissant,5,5,5,0,1,0,1
ron may laugh since voldemort can gobble a cake,ron must not arrange a cake,9,9,6,0,0,0,1
hagrid may chew a souffle that petunia can prepare,hagrid may prepare a pancake,9,9,5,0,0,0,1
petunia should assemble the cookies since hagrid should hiccup,petunia should hide the baklava,9,9,5,0,0,0,1
draco must prepare the souffle which lily can sprinkle,draco may sprinkle the chocolates,9,9,5,0,0,0,1
he may gobble the doughnut since harry must swim,he must chew,9,9,3,0,0,0,1
since ginny must jump fred may wiggle,since must must chew the baklava,7,7,6,0,N/A,N/A,0
vernon should create the doughnuts which mcgonagall must hide,vernon should hide the cookies,9,9,5,0,0,0,1
because james should party draco must arrange the strudels,because the professor may gobble the baklava,9,9,7,0,0,0,1
james can create many baklava which hagrid may sprinkle,hagrid may sprinkle the baklava which hagrid may sprinkle,9,9,9,0,1,0,1
because ginny can prepare the cookies she must laugh,because a student can hide the baklava,9,9,7,0,0,0,1
she can gobble the doughnuts that draco may prepare,draco may create the chocolates that draco can create,9,9,9,0,0,0,1
the wizard may chew the eclaires that harry must eat,the professor must gobble the pancake,10,10,6,0,0,0,1
james can eat the strudel because james should giggle,because may may prepare the strudels,9,9,6,0,N/A,N/A,0
fred can sprinkle the baklava that mcgonagall can hide,can can gobble the baklava,9,9,5,0,N/A,N/A,0
albus can sprinkle the croissants which ron should gobble,the must assemble the eclaires,9,9,5,0,N/A,N/A,0
hermione should create the chocolates that she may gobble,hermione should create the baklava that hermione should create,9,9,9,0,0,0,1
because mcgonagall may party petunia should arrange the chocolates,because the professor may eat the baklava that albus may gobble the cakes that albus may gobble the cakes,9,9,19,0,N/A,N/A,0
the professor must assemble the baklava that a student must assemble,the professor must assemble the croissants,11,11,6,0,0,0,1
the student may make a pancake which a witch can prepare,the professor can chew,11,11,4,0,0,0,1
petunia may eat the pancakes because mcgonagall should hiccup,because voldemort may hide the baklava which he may assemble,9,9,10,0,0,0,1
he should arrange the doughnuts which ron may create,he should hide the cakes,9,9,5,0,0,0,1
the witch must jump,the must assemble the croissants,4,4,5,0,N/A,N/A,0
a wizard may run,a wizard may prepare,4,4,4,0,1,0,1
mcgonagall should create many croissants which lily must assemble,since voldemort should hide a cookie,9,9,6,0,0,0,1
ginny must prepare the eclaires that neville may prepare,neville may prepare the chocolates that neville may prepare,9,9,9,0,1,0,1
draco may hide many strudels which snape must eat,draco must eat,9,9,3,0,0,0,1
petunia can create the souffles that voldemort may gobble,the professor may create the baklava that the must create,9,9,10,0,N/A,N/A,0
lily should assemble the cakes which albus should prepare since fred can party,a professor should make a cake,13,13,6,0,0,0,1
he must chew the souffle that dobby must make because vernon may wiggle,he must chew the baklava,13,13,5,0,0,0,1
because hagrid may sprinkle the chocolates george can hide the cakes,because the student should sprinkle the cakes,11,11,7,0,0,0,1
the student should prepare the pancakes which dobby should prepare,the student should hide the cakes that a student should hide,10,10,11,0,0,1,1
ginny must eat many doughnuts which snape can create,ginny must arrange the baklava,9,9,5,0,0,0,1
neville must sprinkle the eclaires that albus may assemble,neville must assemble the baklava that neville must assemble,9,9,9,0,1,0,1
harry must arrange many croissants which lupin must prepare,harry must create the eclaires,9,9,5,0,0,0,1
dobby should make many souffles that petunia must eat,dobby should eat the strudel,9,9,5,0,0,0,1
ginny must assemble many eclaires which ginny must eat,ginny must hide the baklava,9,9,5,0,0,0,1
the witch may eat the chocolates that draco must arrange,the professor must create the pancakes that the must create the pancakes that the must create,10,10,16,0,N/A,N/A,0
she must create the croissants that the witch can make,she can make the chocolate,10,10,5,0,0,0,1
draco may prepare the croissant which a student should arrange,draco may assemble the cake that a student must not,10,10,10,0,N/A,N/A,0
a student should eat the doughnut,the can not sprinkle the doughnut,6,6,6,0,N/A,N/A,0
the professor must eat a baklava,the professor must chew the baklava,6,6,6,0,1,0,1
voldemort can swim,voldemort can eat,3,3,3,0,1,0,1
snape must smile,snape must hide,3,3,3,0,1,0,1
george can laugh,george can make,3,3,3,0,1,0,1
she must giggle,she must chew,3,3,3,0,1,0,1
dobby must giggle,dobby must gobble,3,3,3,0,1,0,1
since a professor should hide the cakes which ginny must chew a student must smile since fred must hide the pancake,since voldemort must hide the baklava,21,21,6,0,0,0,1
because vernon may prepare the doughnuts that fred must hide harry may prepare many doughnuts because the professor should laugh,vernon should hide the baklava,20,20,5,0,0,0,1
since the student should assemble the eclaires that lily may eat albus should prepare the doughnuts which draco can eat,dobby can gobble the doughnuts which he can not create the doughnuts which he can create,20,20,16,0,N/A,N/A,0
because the witch may eat the strudel james can create the chocolate that hagrid may arrange,because may may eat the baklava that albus may not eat the souffles,16,16,13,0,N/A,N/A,0
george may prepare the baklava because the student must arrange the cake that fred can gobble,because a professor can hide a baklava that a professor may not chew a cookie,16,16,15,0,N/A,N/A,0
neville must hide the strudels which vernon must create because albus should sprinkle the pancake that petunia must create,neville must chew the cookies that vernon must create,19,19,9,0,0,0,1
since snape must create the baklava that sirius should prepare mcgonagall should assemble a souffle that dobby can create,since snape should chew the pancakes that hagrid may prepare,19,19,10,0,0,0,1
because fred should eat the eclaire that james should eat ginny should create the baklava which fred may arrange,because may may eat the baklava that may may not eat the baklava,19,19,13,0,N/A,N/A,0
sirius should prepare the eclaire that ginny must assemble,since should must assemble,9,9,4,0,N/A,N/A,0
she should make the eclaire that petunia can prepare,she should make,9,9,3,0,0,0,1
voldemort can gobble the baklava that james may chew,draco may gobble the baklava,9,9,5,0,0,0,1
fred should assemble the cookies that vernon must prepare,fred should assemble a cookie,9,9,5,0,0,0,1
ron should sprinkle a strudel that petunia must eat,ron should chew the baklava,9,9,5,0,0,0,1
sirius may make a eclaire since the student can wiggle,sirius may arrange the eclaire,10,10,5,0,0,0,1
the witch may sprinkle the souffles,the may sprinkle the strudels,6,6,5,0,N/A,N/A,0
since lily must hiccup she must laugh because the professor should create the strudels,since the strudels,14,14,3,0,N/A,N/A,0
since the professor must create the chocolates mcgonagall must wiggle because draco can laugh,since voldemort can chew the eclaire,14,14,6,0,0,0,1
voldemort should hiccup,voldemort should hide,3,3,3,0,1,0,1
lupin must wiggle,lupin must hide,3,3,3,0,1,0,1
james should hiccup,james should hide,3,3,3,0,1,0,1
lupin can walk,lupin can laugh,3,3,3,0,1,0,1
snape must party,snape must hide,3,3,3,0,1,0,1
albus must create the cookies that george can create,albus must create,9,9,3,0,0,0,1
snape can gobble the souffles that albus must chew,the professor must gobble the strudel,9,9,6,0,0,0,1
mcgonagall must assemble a baklava because dobby should giggle,mcgonagall must assemble a eclaire,9,9,5,0,0,0,1
she should chew the strudels that lily can hide,snape can create the strudels,9,9,5,0,0,0,1
george can arrange the doughnuts which ginny should eat,the can eat the cookies that lily can eat,9,9,9,0,N/A,N/A,0
draco should party,draco should make the cakes,3,3,5,0,0,0,1
ron should giggle,hagrid should walk,3,3,3,0,1,0,1
draco should wiggle,draco should make,3,3,3,0,1,0,1
dobby should wiggle,dobby should hide,3,3,3,0,1,0,1
james should swim,james should hide,3,3,3,0,1,0,1
voldemort may make a baklava,voldemort may assemble a croissant,5,5,5,0,0,0,1
snape must prepare the cakes,the student may gobble the cakes,5,5,6,0,0,1,1
vernon must arrange the pancakes,vernon must hide the chocolates,5,5,5,0,1,0,1
hermione may assemble the chocolate,hermione may gobble the baklava,5,5,5,0,1,0,1
the professor should hide the baklava,the professor should gobble the strudels,6,6,6,0,1,0,1
because sirius should gobble a cookie sirius should prepare many baklava,because a professor should chew a cookie that a professor should chew a cookie,11,11,14,0,N/A,N/A,0
dobby may hide a baklava that ginny can chew,dobby should eat the strudel,9,9,5,0,0,0,1
snape should arrange the croissants which hagrid can gobble,snape should arrange the souffles,9,9,5,0,0,0,1
he must prepare the cake which sirius must eat,he must chew the cakes,9,9,5,0,0,0,1
hermione must gobble the pancakes that sirius can eat,hermione must eat the pancakes that hermione can eat,9,9,9,0,1,0,1
